Crop_Type,Temperature_C,Rainfall_mm,Irrigation_mm,N_Fertilizer,P_Fertilizer,K_Fertilizer,Yield_kg_per_ha
Maize,25.89,1062.36,341.86,168.08,25.31,15.07,1905.99
Soybean,18.32,605.07,343.73,120.35,59.12,7.38,103.63
Rice,26.9,439.04,46.4,122.31,63.67,25.18,1945.97
Maize,28.05,487.39,153.23,109.38,16.71,56.15,3034.73
Maize,27.8,653.84,713.28,147.38,15.92,71.61,1854.19
Soybean,30.4,694.42,254.16,103.15,44.51,58.33,131.35
Rice,29.17,569.0,409.64,159.06,52.59,61.15,2944.68
Rice,27.3,411.17,202.4,74.71,34.02,38.38,1366.81
Maize,24.65,663.16,0.0,76.04,53.59,5.16,2348.01
Wheat,16.7,854.43,274.46,147.5,25.8,30.9,580.25
Maize,27.15,978.51,260.16,116.46,0.0,34.82,2562.67
Maize,26.04,632.77,240.02,101.84,31.52,30.06,3791.42
Maize,26.36,676.1,282.8,155.6,41.26,41.09,4407.13
Maize,18.62,521.99,339.64,95.71,34.48,48.83,3007.36
Soybean,19.59,790.57,277.48,111.99,16.83,57.06,150.04
Rice,30.27,545.47,110.4,175.97,3.69,34.44,2318.35
Soybean,24.8,971.94,372.93,181.57,29.72,1.92,108.45
Soybean,28.41,264.24,7.59,182.9,57.95,30.34,444.96
Soybean,25.14,692.11,0.0,108.71,65.12,40.87,396.01
Maize,25.15,890.33,410.88,169.23,63.75,64.46,2810.44
Wheat,29.69,855.15,376.05,82.04,23.68,28.64,522.69
Rice,22.42,1607.91,291.39,83.72,16.93,50.25,1437.1
Wheat,25.48,904.94,90.68,25.98,49.93,45.8,552.35
Soybean,22.69,498.78,193.81,186.91,52.7,40.88,515.86
Soybean,22.83,771.36,260.59,85.44,48.0,58.61,108.48
Wheat,23.45,267.13,60.62,114.94,0.0,26.78,1633.95
Wheat,26.11,775.82,189.15,83.59,22.66,28.5,1402.24
Wheat,22.61,550.08,397.85,147.81,39.41,39.76,1521.23
Soybean,31.28,1074.62,514.1,104.97,49.74,27.2,115.34
Soybean,20.53,635.14,237.08,67.81,55.35,50.16,369.15
Rice,24.07,764.97,413.47,137.67,42.89,25.74,3404.88
Rice,22.8,609.33,12.89,62.65,46.62,44.53,1486.89
Soybean,32.23,1321.66,398.92,86.5,41.7,38.0,122.05
Wheat,25.98,703.63,179.41,35.72,53.71,44.3,1073.55
Wheat,30.16,1349.77,346.1,63.04,46.26,30.81,410.77
Rice,17.57,1044.25,262.84,127.14,41.31,33.22,2729.24
Soybean,26.34,944.62,498.06,41.42,34.63,41.92,302.53
Rice,29.45,910.62,168.83,60.75,41.63,44.04,2038.15
Rice,25.41,918.14,394.14,119.91,49.69,39.92,2533.4
Maize,30.33,221.7,258.07,98.26,45.35,74.11,3011.81
Maize,22.41,716.33,276.25,199.68,47.62,20.19,4256.7
Maize,32.05,1053.55,272.42,193.36,66.85,38.72,2095.36
Wheat,36.49,785.33,173.15,85.28,45.3,8.53,1503.82
Soybean,23.19,378.44,297.89,142.29,27.02,47.44,559.12
Soybean,22.77,784.28,290.6,149.97,57.67,17.7,113.45
Soybean,32.27,1311.23,336.19,96.1,12.68,34.43,125.78
Soybean,32.9,1174.07,312.68,60.18,18.37,32.56,231.05
Maize,22.39,781.4,419.7,119.51,46.72,45.62,2269.56
Wheat,22.9,1085.43,438.53,113.09,50.33,28.94,521.25
Wheat,23.59,690.05,142.41,102.57,15.1,28.09,1851.76
Maize,18.28,288.84,430.32,137.69,32.34,68.72,4094.37
Wheat,20.41,522.66,122.05,89.97,27.88,45.69,2176.4
Maize,19.98,1268.87,388.18,73.92,30.27,28.78,516.74
Soybean,21.16,717.8,392.96,124.36,58.87,34.98,136.47
Maize,24.83,726.98,13.3,135.44,54.13,72.91,3922.1
Soybean,26.17,710.05,313.95,72.93,39.62,35.3,107.05
Soybean,32.75,1371.24,229.73,157.12,29.08,26.21,107.82
Rice,20.01,1287.79,186.19,49.18,13.01,26.3,1481.51
Maize,29.92,1465.63,502.63,96.88,68.4,29.02,656.18
Rice,23.93,752.29,201.95,109.68,51.84,28.11,2764.87
Maize,24.75,888.69,179.04,94.55,25.87,14.41,2527.63
Maize,28.37,345.01,311.35,97.4,54.39,17.52,2707.09
Rice,19.39,1243.08,402.84,194.84,38.6,23.41,2424.09
Rice,26.91,449.67,278.75,85.96,34.26,51.83,2042.66
Maize,25.83,865.03,474.96,217.65,48.7,32.38,2532.79
Wheat,27.46,470.81,379.65,137.49,25.17,35.86,2028.68
Soybean,26.45,623.34,0.0,123.68,33.12,65.4,665.72
Rice,37.28,548.82,220.58,139.05,42.43,65.9,2295.68
Soybean,21.81,617.64,215.72,221.2,30.01,34.36,280.86
Wheat,22.35,638.26,371.9,80.26,53.38,27.38,1054.95
Wheat,21.88,635.52,0.0,75.18,77.38,22.71,2405.08
Wheat,22.22,1050.0,682.35,89.81,24.91,53.86,551.2
Rice,21.81,468.54,379.65,121.29,6.7,35.91,2436.26
Wheat,30.95,866.16,322.33,50.97,0.0,32.27,321.73
Rice,32.1,1165.39,477.24,120.89,36.99,23.73,2203.82
Wheat,22.15,646.04,651.55,187.74,26.74,24.61,281.09
Soybean,20.84,584.62,430.61,126.06,44.16,46.4,128.62
Soybean,27.36,730.84,442.32,108.29,42.65,13.69,122.68
Maize,22.24,1153.92,319.6,95.27,7.94,59.9,910.53
Soybean,28.16,858.23,278.77,155.94,3.7,29.32,103.2
Maize,26.01,640.64,228.63,86.97,45.92,37.01,3400.23
Soybean,17.42,945.16,176.08,193.86,42.71,13.26,113.96
Rice,32.74,469.31,196.95,197.33,31.48,39.75,2285.83
Soybean,33.98,1004.41,97.42,130.27,6.86,33.43,102.55
Maize,21.94,922.58,288.62,119.54,49.43,39.0,2564.99
Maize,23.06,707.66,47.3,161.23,65.44,69.43,4059.35
Wheat,26.43,548.42,328.64,163.79,45.56,43.55,1765.19
Rice,26.67,534.0,294.55,87.76,23.05,24.11,2286.52
Soybean,28.29,960.45,322.04,98.94,40.89,25.77,125.93
Wheat,35.05,1168.69,221.68,67.11,12.68,51.9,358.73
Soybean,24.12,608.81,761.53,136.36,61.16,65.97,122.37
Soybean,21.01,937.52,504.02,146.67,41.64,45.64,121.37
Wheat,18.1,173.89,113.32,66.0,4.64,53.77,1491.79
Wheat,21.35,624.61,334.93,101.79,33.99,52.19,1577.32
Wheat,24.83,790.68,208.8,66.11,49.27,68.38,973.65
Wheat,33.97,527.09,147.83,84.05,33.34,1.01,1948.07
Wheat,22.41,519.05,98.99,142.04,34.48,53.34,1880.15
Soybean,26.12,599.67,364.83,90.66,15.51,59.67,129.81
Wheat,24.92,887.66,197.79,107.97,51.33,13.23,925.67
Rice,30.94,743.8,445.17,54.91,27.03,22.29,1962.78
Maize,37.63,128.53,449.07,127.48,0.0,22.98,3483.8
Wheat,22.35,163.79,506.09,118.23,32.57,25.42,1939.63
Wheat,22.55,617.94,172.14,90.84,59.62,30.37,1900.98
Soybean,30.22,937.31,371.3,112.44,32.26,44.85,122.04
Wheat,28.41,0.0,394.87,127.21,74.76,57.31,2229.75
Wheat,34.23,650.08,228.87,87.41,48.58,61.63,1776.93
Wheat,27.92,642.13,184.23,60.95,46.78,23.24,1693.77
Soybean,23.2,1216.5,541.43,192.22,37.43,23.11,120.14
Wheat,27.95,684.49,334.12,94.67,38.63,66.32,1241.63
Maize,30.54,914.9,395.4,116.13,34.73,52.93,1944.35
Soybean,29.1,842.38,176.69,160.43,33.95,41.66,131.78
Maize,27.54,160.83,117.11,261.16,50.62,49.47,1755.75
Soybean,30.33,1030.46,214.58,70.22,21.28,39.4,118.78
Wheat,30.85,864.62,281.4,137.99,18.48,50.49,451.25
Maize,31.91,952.48,140.37,91.7,17.54,33.28,2547.57
Soybean,28.24,1977.87,298.52,98.45,80.91,45.38,131.93
Rice,24.16,174.77,46.72,91.19,50.61,9.79,849.17
Wheat,25.73,1317.41,131.99,74.97,46.09,26.24,422.75
Soybean,31.03,713.77,400.64,118.35,18.85,26.46,105.02
Rice,20.92,886.2,390.57,61.02,52.47,32.51,2103.45
Soybean,26.84,786.35,241.22,157.87,37.67,21.47,112.18
Rice,23.03,672.73,147.34,122.2,44.28,29.33,2581.69
Wheat,25.14,629.05,145.89,136.9,20.47,9.71,2574.85
Maize,31.39,898.85,244.01,101.35,43.21,50.97,2783.54
Rice,25.96,344.85,396.68,105.31,31.52,38.35,1957.05
Soybean,25.23,1025.17,439.24,131.5,24.69,5.9,98.77
Wheat,18.2,675.14,225.52,73.44,54.68,23.3,1584.74
Rice,28.73,460.98,126.98,105.68,9.25,46.73,1782.39
Soybean,28.23,665.0,340.18,85.62,51.3,29.14,127.78
Soybean,35.82,1177.14,176.47,84.38,53.69,26.06,120.51
Soybean,23.46,639.4,222.26,35.61,22.41,38.51,718.69
Rice,26.1,907.54,498.79,173.57,23.59,46.87,2639.62
Rice,26.25,580.71,424.07,92.54,35.54,11.27,2932.61
Rice,32.89,1027.38,323.7,166.54,45.64,51.0,3746.25
Maize,24.52,1005.65,109.21,162.75,36.94,23.99,3256.36
Rice,26.4,1354.58,331.71,68.56,48.67,39.64,1840.76
Rice,28.04,747.33,459.4,76.46,75.26,39.29,2310.72
Rice,25.93,1000.6,243.65,222.42,29.85,29.46,2246.9
Maize,22.77,829.42,502.67,190.04,5.7,19.53,2038.64
Rice,25.97,1188.76,493.91,118.74,56.52,34.29,2145.73
Soybean,30.37,584.35,549.56,130.29,73.67,72.51,106.37
Rice,19.87,1023.5,345.79,94.77,47.86,12.77,2650.09
Soybean,25.66,741.59,388.11,137.29,18.25,73.85,113.76
Soybean,21.5,780.74,512.13,91.31,37.52,34.81,89.06
Soybean,30.98,827.53,367.11,38.71,17.63,40.71,313.03
Maize,17.38,875.67,224.81,67.14,52.86,18.27,2091.81
Maize,22.21,765.13,232.72,120.84,12.97,24.57,3805.91
Maize,26.89,864.41,335.78,74.76,34.0,29.94,2059.16
Rice,32.83,1273.44,106.42,117.31,19.91,19.09,2381.84
Soybean,24.67,1095.63,278.51,77.01,42.54,35.82,93.24
Maize,22.22,1060.75,464.48,88.71,32.67,31.86,553.56
Maize,34.41,663.34,0.0,154.13,43.54,77.02,3566.14
Rice,17.76,533.23,530.17,129.9,40.45,16.68,3182.99
Maize,14.01,1086.59,468.36,119.61,20.27,42.05,710.32
Rice,27.2,1062.81,231.04,155.16,52.54,44.96,3315.8
Wheat,22.49,1241.8,381.51,139.22,39.02,18.59,422.81
Maize,19.89,618.81,300.47,177.86,20.23,53.74,4288.0
Wheat,28.54,731.14,484.5,101.61,84.82,32.03,523.66
Rice,26.22,308.15,447.4,102.81,49.53,0.0,1864.32
